Package.Name,N,A,Ce,Ca,I,D,post,,IPIC ,IIPUD,IIPED,PF,IPSC ,pkgLOC,pkgKLOC
org.eclipse.jdt.internal.core.builder,24,0.142857143,16,5,0.761904762,0.095238095,7,,0.891304348,0.111111111,1,0.25,0.306666667,4227,4.227
org.eclipse.jdt.internal.core.dom,1,0,2,0,0,1,0,,1,1,1,0,0,1277,1.277
org.eclipse.jdt.internal.core.dom.rewrite,14,0.166666667,10,1,0.909090909,0.075757576,3,,0.97826087,0.132543103,1,1,0,6028,6.028
org.eclipse.jdt.internal.core.eval,3,0,11,1,0.916666667,0.083333333,0,,0.97826087,0.135135135,1,1,0,384,0.384
org.eclipse.jdt.internal.core.hierarchy,9,0.125,21,3,0.875,0,1,,0.934782609,0.063988095,1,0.444444444,0.333333333,3319,3.319
org.eclipse.jdt.internal.core.index,4,0,7,3,0.7,0.3,1,,0.934782609,0.266666667,1,0.555555556,0.555555556,1414,1.414
org.eclipse.jdt.internal.core.jdom,15,0.25,13,1,0.928571429,0.178571429,0,,0.97826087,0.116071429,1,1,0,2854,2.854
org.eclipse.jdt.internal.core.search,17,0.307692308,20,5,0.8,0.107692308,3,,0.891304348,0.075520833,1,0.271428571,0.412980296,2684,2.684
org.eclipse.jdt.internal.core.search.indexing,17,0.214285714,23,5,0.821428571,0.035714286,6,,0.869565217,0.068421053,0.75,0.4,0.327777778,2698,2.698
org.eclipse.jdt.internal.core.search.matching,48,0.11627907,23,3,0.884615385,0.000894454,42,,0.913043478,0.054418605,0.4,0.439393939,0.297697368,10714,10.714
org.eclipse.jdt.internal.core.search.processing,2,0,2,5,0.285714286,0.714285714,0,,0.869565217,1,1,0.7,0.416666667,370,0.37
org.eclipse.jdt.internal.core.util,67,0.063492063,25,20,0.555555556,0.380952381,11,,0.565217391,0.0625,0.333333333,0.127777778,0.482212302,17448,17.448
org.eclipse.jdt.internal.eval,26,0.130434783,20,2,0.909090909,0.039525692,11,,0.934782609,0.068627451,0.307692308,0.6,0.222222222,4790,4.79
org.eclipse.jdt.internal.formatter,16,0.142857143,17,6,0.739130435,0.118012422,18,,0.869565217,0.078917051,0.4375,0.3,0.356481481,12420,12.42
org.eclipse.jdt.internal.formatter.align,2,0,2,2,0.5,0.5,0,,0.956521739,1,1,0.75,0.5,290,0.29
org.eclipse.jdt.internal.formatter.comment,16,0.6,10,1,0.909090909,0.509090909,0,,0.97826087,0.270833333,0.75,1,0,1541,1.541
org.eclipse.jdt.internal.formatter.old,1,0,7,1,0.875,0.125,0,,0.97826087,0.314285714,1,1,0,138,0.138
