Package,post,N,A,Ce,Ca,I,D,IIPUD,IIPED,IPIC,PGF,PSC,pkgLOC,pkgKLOC
org.eclipse.core.runtime.jobs,2,11,2.666666667,5,66,0.070422535,1.737089202,0.666666667,1,0.913043478,0.017857143,0.017857143,289,0.289
org.eclipse.core.runtime.model,0,13,0.181818182,8,3,0.727272727,0.090909091,0.34375,1,0.995341615,0,0.166666667,675,0.675
org.eclipse.core.runtime.preferences,1,10,2.333333333,8,13,0.380952381,1.714285714,0.5,1,0.989130435,0.142857143,0.142857143,148,0.148
org.eclipse.core.variables,0,8,7,3,12,0.2,6.2,0.625,1,0.979813665,0,0.076923077,86,0.086
org.eclipse.debug.core,7,27,5.75,16,51,0.23880597,4.98880597,0.151515152,1,0.916149068,0,0.018518519,1200,1.2
org.eclipse.debug.core.model,4,40,39,7,38,0.155555556,38.15555556,0.407407407,1,0.992236025,0.133333333,0.133333333,810,0.81
org.eclipse.debug.core.sourcelookup,1,10,0,8,10,0.444444444,0.555555556,1,1,0.992236025,0.2,0.2,540,0.54
org.eclipse.debug.core.sourcelookup.containers,2,12,0.333333333,10,7,0.588235294,0.078431373,0.238095238,1,0.986024845,0.074074074,0.111111111,662,0.662
org.eclipse.debug.internal.core,9,20,0,20,6,0.769230769,0.230769231,0.120181406,1,0.989130435,0,0.142857143,3923,3.923
org.eclipse.debug.internal.core.memory,4,16,3,8,2,0.8,2.8,0.289473684,1,0.99689441,0.5,0.5,1007,1.007
org.eclipse.debug.internal.core.sourcelookup,0,5,0,7,2,0.777777778,0.222222222,0.388888889,1,0.995341615,0,0.333333333,201,0.201
org.eclipse.debug.internal.core.sourcelookup.containers,0,8,0.142857143,7,1,0.875,0.017857143,0.307692308,1,0.998447205,0,1,371,0.371
org.eclipse.debug.internal.ui,10,27,0.125,47,18,0.723076923,0.151923077,0.035460993,0.4375,0.965838509,0,0.045454545,2860,2.86
org.eclipse.debug.internal.ui.actions,12,86,0.194444444,39,4,0.906976744,0.101421189,0.035673624,0.555555556,0.99378882,0,0.125,3749,3.749
org.eclipse.debug.internal.ui.launchConfigurations,6,32,0.032258065,41,3,0.931818182,0.035923754,0.039821029,0.288888889,0.99378882,0,0.25,5103,5.103
org.eclipse.debug.internal.ui.preferences,2,9,0.125,22,11,0.666666667,0.208333333,0.07183908,0.625,0.99689441,0,0.5,1003,1.003
org.eclipse.debug.internal.ui.sourcelookup,5,26,0.04,39,2,0.951219512,0.008780488,0.042206897,0.25,0.99689441,0,0.5,1744,1.744
org.eclipse.debug.internal.ui.sourcelookup.browsers,0,11,0,23,0,0,1,0.0625,0.5,1,0,1,410,0.41
org.eclipse.debug.internal.ui.stringsubstitution,3,16,0.142857143,22,5,0.814814815,0.042328042,0.066985646,0.75,0.99068323,0,0.166666667,605,0.605
org.eclipse.debug.internal.ui.views,2,8,1,12,7,0.631578947,0.631578947,0.193277311,1,0.989130435,0.142857143,0.095238095,524,0.524
org.eclipse.debug.internal.ui.views.breakpoints,8,4,0,18,1,0.947368421,0.052631579,0.082758621,0.75,0.998447205,0,1,482,0.482
org.eclipse.debug.internal.ui.views.console,15,19,0.055555556,35,3,0.921052632,0.023391813,0.037751678,0.375,0.995341615,0,0.333333333,2139,2.139
org.eclipse.debug.internal.ui.views.expression,6,6,0.2,26,0,0,0.8,0.06885759,1,1,0,1,777,0.777
org.eclipse.debug.internal.ui.views.launch,6,10,0.111111111,32,3,0.914285714,0.025396825,0.04091954,0.4,0.995341615,0,0.333333333,2169,2.169
org.eclipse.debug.internal.ui.views.memory,9,46,0.4375,30,1,0.967741935,0.405241935,0.045637199,0.555555556,0.998447205,0,1,5573,5.573
org.eclipse.debug.internal.ui.views.registers,0,4,0,13,0,0,1,0.140909091,0.666666667,1,0,1,166,0.166
org.eclipse.debug.internal.ui.views.variables,1,15,0.153846154,28,4,0.875,0.028846154,0.046032707,0.444444444,0.99378882,0,0.25,1925,1.925
org.eclipse.debug.ui,8,18,3.5,35,29,0.546875,3.046875,0.048727273,1,0.953416149,0.033333333,0.033333333,2512,2.512
org.eclipse.debug.ui.actions,3,14,0.555555556,18,1,0.947368421,0.502923977,0.090379009,1,0.998447205,0,1,846,0.846
org.eclipse.debug.ui.console,3,7,2.5,13,6,0.684210526,2.184210526,0.123188406,1,0.995341615,0,0.333333333,165,0.165
org.eclipse.debug.ui.sourcelookup,0,5,0.25,16,3,0.842105263,0.092105263,0.111111111,0.555555556,0.99378882,0,0.25,222,0.222
org.eclipse.help,0,8,7,9,16,0.36,6.36,0.36,1,0.989130435,0,0.142857143,75,0.075
org.eclipse.help.browser,0,2,0,1,7,0.125,0.875,1,1,1,0,1,15,0.015
org.eclipse.help.internal,0,4,0.333333333,8,13,0.380952381,0.285714286,0.257142857,1,0.97826087,0,0.071428571,229,0.229
org.eclipse.help.internal.appserver,1,6,0.2,8,3,0.727272727,0.072727273,0.37254902,1,0.995341615,0,0.333333333,450,0.45
org.eclipse.help.internal.base,1,9,0.125,23,11,0.676470588,0.198529412,0.104072398,0.75,0.97826087,0,0.071428571,783,0.783
org.eclipse.help.internal.base.util,0,3,0.5,6,6,0.5,0,0.5,1,0.99378882,0,0.25,322,0.322
org.eclipse.help.internal.browser,0,9,0,8,4,0.666666667,0.333333333,0.296875,1,0.99378882,0,0.25,817,0.817
org.eclipse.help.internal.browser.macosx,0,2,0,6,0,0,1,0.375,1,1,0,1,53,0.053
org.eclipse.help.internal.context,1,11,0.222222222,11,5,0.6875,0.090277778,0.3,1,0.99378882,0,0.25,531,0.531
org.eclipse.help.internal.model,0,5,0,3,3,0.5,0.5,1,1,1,0,1,19,0.019
org.eclipse.help.internal.protocols,1,2,0,8,3,0.727272727,0.272727273,0.333333333,1,0.995341615,0,0.333333333,245,0.245
org.eclipse.help.internal.search,3,26,0.083333333,19,3,0.863636364,0.053030303,0.119318182,0.625,0.995341615,0,0.333333333,2377,2.377
org.eclipse.help.internal.standalone,1,7,0.166666667,7,1,0.875,0.041666667,1,1,0.998447205,0,1,756,0.756
org.eclipse.help.internal.toc,1,12,0.2,15,8,0.652173913,0.147826087,0.202898551,1,0.98757764,0,0.125,938,0.938
org.eclipse.help.internal.util,0,3,0,8,7,0.533333333,0.466666667,0.3125,1,0.98757764,0,0.125,256,0.256
org.eclipse.help.internal.webapp,0,2,0,6,2,0.75,0.25,0.444444444,1,0.99689441,0,0.5,105,0.105
org.eclipse.help.internal.webapp.data,3,16,0,17,1,0.944444444,0.055555556,0.116883117,1,0.998447205,0,1,1818,1.818
org.eclipse.help.internal.webapp.servlet,3,15,0.071428571,17,1,0.944444444,0.015873016,0.100591716,0,0.998447205,0,1,1346,1.346
org.eclipse.help.internal.workingset,0,9,0.285714286,16,5,0.761904762,0.047619048,0.215686275,1,0.99068323,0,0.166666667,686,0.686
org.eclipse.help.standalone,0,2,0,4,0,0,1,1,1,1,0,1,62,0.062
org.eclipse.help.ui.browser,0,1,0,8,0,0,1,0.228571429,1,1,0,1,35,0.035
org.eclipse.help.ui.internal,2,13,0.181818182,29,4,0.878787879,0.060606061,0.056763285,0.4375,0.99378882,0,0.25,1404,1.404
org.eclipse.help.ui.internal.browser,1,3,0,17,0,0,1,0.097777778,1,1,0,1,261,0.261
org.eclipse.help.ui.internal.browser.embedded,0,3,0,15,0,0,1,0.114942529,1,1,0,1,404,0.404
org.eclipse.help.ui.internal.ide,0,3,0.5,11,2,0.846153846,0.346153846,0.196428571,1,0.99689441,0,0.5,179,0.179
org.eclipse.help.ui.internal.search,0,11,0,25,0,0,1,0.065322581,0.375,1,0,1,715,0.715
org.eclipse.help.ui.internal.util,0,2,0,11,4,0.733333333,0.266666667,0.155555556,1,0.99378882,0,0.25,135,0.135
org.eclipse.help.ui.internal.workingset,0,5,0,16,1,0.941176471,0.058823529,0.103296703,0.75,0.998447205,0,1,507,0.507
org.eclipse.jdi,0,3,0.5,5,6,0.454545455,0.045454545,0.375,1,0.99068323,0,0.166666667,39,0.039
org.eclipse.jdi.hcr,0,6,5,3,4,0.428571429,4.428571429,1,1,0.998447205,0,1,45,0.045
org.eclipse.jdi.internal,2,48,0.170731707,20,6,0.769230769,0.060037523,0.086247086,1,0.99068323,0,0.111111111,7655,7.655
org.eclipse.jdi.internal.connect,0,11,0.375,10,2,0.833333333,0.208333333,0.238095238,1,0.99689441,0,0.166666667,868,0.868
org.eclipse.jdi.internal.event,0,21,0.166666667,12,2,0.857142857,0.023809524,0.145833333,1,0.99689441,0,0.5,746,0.746
org.eclipse.jdi.internal.jdwp,0,19,0.117647059,5,4,0.555555556,0.326797386,1,1,0.99378882,0,0.125,731,0.731
org.eclipse.jdi.internal.request,0,18,0.125,11,2,0.846153846,0.028846154,0.183673469,1,0.99689441,0,0.5,1028,1.028
org.eclipse.jdi.internal.spy,0,8,0.142857143,6,0,0,0.857142857,1,1,1,0,1,3175,3.175
org.eclipse.jdt.core,12,59,3.214285714,28,116,0.194444444,2.408730159,0.062025316,0.5,0.809006211,0.006097561,0.006097561,4625,4.625
org.eclipse.jdt.core.compiler,12,5,1.5,2,58,0.033333333,0.533333333,1,1,0.919254658,0,0.019230769,1478,1.478
org.eclipse.jdt.core.dom,44,125,0.179245283,21,39,0.35,0.470754717,0.058045113,0.666666667,0.930124224,0.001851852,0.014814815,22234,22.234
org.eclipse.jdt.core.dom.rewrite,1,3,0.5,5,9,0.357142857,0.142857143,0.388888889,1,0.986024845,0,0.111111111,333,0.333
org.eclipse.jdt.core.eval,0,3,0,5,4,0.555555556,0.444444444,1,1,1,0,1,87,0.087
org.eclipse.jdt.core.formatter,2,2,1,6,17,0.260869565,0.260869565,0.555555556,1,0.973602484,0,0.058823529,375,0.375
org.eclipse.jdt.core.jdom,0,12,5,4,1,0.8,4.8,1,1,0.998447205,0,1,224,0.224
org.eclipse.jdt.core.search,3,21,0.75,19,42,0.31147541,0.06147541,0.086524823,1,0.933229814,0.011627907,0.015503876,1909,1.909
org.eclipse.jdt.core.util,1,41,9.25,5,6,0.454545455,8.704545455,0.466666667,1,0.99689441,0,0.5,1508,1.508
org.eclipse.jdt.debug.core,3,30,29,8,21,0.275862069,28.27586207,0.236363636,1,0.97826087,0,0.071428571,495,0.495
org.eclipse.jdt.debug.eval,0,7,6,6,8,0.428571429,5.428571429,0.555555556,1,0.995341615,0,0.333333333,76,0.076
org.eclipse.jdt.debug.ui,0,3,0.5,16,7,0.695652174,0.195652174,0.103296703,1,0.995341615,0,0.333333333,300,0.3
org.eclipse.jdt.debug.ui.launchConfigurations,1,9,0,32,5,0.864864865,0.135135135,0.042085257,1,0.992236025,0,0.2,2431,2.431
org.eclipse.jdt.internal.antadapter,0,1,0,4,1,0.8,0.2,1,1,0.998447205,0,1,34,0.034
org.eclipse.jdt.internal.codeassist,10,7,2.5,18,4,0.818181818,2.318181818,0.073529412,1,0.99689441,0,0.5,3696,3.696
org.eclipse.jdt.internal.codeassist.complete,7,32,0.032258065,10,1,0.909090909,0.058651026,0.122962963,0.294117647,0.998447205,0,1,3542,3.542
org.eclipse.jdt.internal.codeassist.impl,6,4,3,11,5,0.6875,2.6875,1,1,0.992236025,0.2,0.2,1293,1.293
org.eclipse.jdt.internal.codeassist.select,3,18,0,10,1,0.909090909,0.090909091,0.145833333,0.375,0.998447205,0,1,1096,1.096
org.eclipse.jdt.internal.compiler,11,15,0.875,13,26,0.333333333,0.208333333,0.120181406,0.75,0.959627329,0.038461538,0.038461538,5678,5.678
org.eclipse.jdt.internal.compiler.ast,42,98,0.180722892,12,20,0.375,0.444277108,0.12568306,1,0.968944099,0,0.016666667,15376,15.376
org.eclipse.jdt.internal.compiler.batch,3,6,0,11,3,0.785714286,0.214285714,0.183673469,1,0.995341615,0,0.333333333,1822,1.822
org.eclipse.jdt.internal.compiler.classfmt,1,7,0.4,10,16,0.384615385,0.215384615,0.212962963,1,0.98757764,0,0.125,1344,1.344
org.eclipse.jdt.internal.compiler.codegen,1,16,0.230769231,10,6,0.625,0.144230769,0.148648649,1,0.992236025,0,0.2,8440,8.44
org.eclipse.jdt.internal.compiler.env,0,16,15,2,25,0.074074074,14.07407407,1,1,0.989130435,0,0.142857143,170,0.17
org.eclipse.jdt.internal.compiler.flow,1,11,0.1,8,4,0.666666667,0.233333333,0.2,1,0.99378882,0,0.25,1424,1.424
org.eclipse.jdt.internal.compiler.impl,0,13,0.3,11,30,0.268292683,0.431707317,0.265306122,1,0.953416149,0,0.033333333,2305,2.305
org.eclipse.jdt.internal.compiler.lookup,32,42,0.448275862,12,24,0.333333333,0.218390805,0.130023641,1,0.968944099,0,0.0375,8302,8.302
org.eclipse.jdt.internal.compiler.parser,31,21,0.166666667,13,20,0.393939394,0.439393939,0.107894737,1,0.970496894,0.052631579,0.052631579,10972,10.972
org.eclipse.jdt.internal.compiler.parser.diagnose,0,3,0,9,1,0.9,0.1,0.178571429,1,0.998447205,0,1,1853,1.853
org.eclipse.jdt.internal.compiler.problem,16,10,0.111111111,11,23,0.323529412,0.565359477,0.136513158,1,0.964285714,0,0.043478261,4270,4.27
org.eclipse.jdt.internal.compiler.util,2,11,0.1,6,21,0.222222222,0.677777778,0.625,1,0.967391304,0,0.047619048,1080,1.08
org.eclipse.jdt.internal.core,25,121,0.141509434,34,16,0.68,0.178490566,0.03905867,0.357142857,0.972049689,0.00462963,0.034722222,25590,25.59
org.eclipse.jdt.internal.core.builder,2,23,0.095238095,18,3,0.857142857,0.047619048,0.098901099,0.75,0.995341615,0.166666667,0.333333333,3388,3.388
org.eclipse.jdt.internal.core.dom.rewrite,2,13,0.083333333,9,2,0.818181818,0.098484848,0.149301826,1,0.99689441,0,0.5,4780,4.78
org.eclipse.jdt.internal.core.eval,0,3,0,12,1,0.923076923,0.076923077,0.1225,1,0.998447205,0,1,387,0.387
org.eclipse.jdt.internal.core.hierarchy,1,10,0.25,23,3,0.884615385,0.134615385,0.061403509,1,0.995341615,0,0.333333333,3146,3.146
org.eclipse.jdt.internal.core.index,2,4,0,8,3,0.727272727,0.272727273,0.226190476,1,0.995341615,0,0.333333333,970,0.97
org.eclipse.jdt.internal.core.jdom,1,15,0.25,11,2,0.846153846,0.096153846,0.149758454,1,0.99689441,0,0.5,2847,2.847
org.eclipse.jdt.internal.core.search,2,11,0.222222222,15,4,0.789473684,0.011695906,0.109848485,1,0.99378882,0,0.25,1111,1.111
org.eclipse.jdt.internal.core.search.indexing,4,16,0.230769231,21,6,0.777777778,0.008547009,0.077647059,1,0.989130435,0,0.142857143,2045,2.045
org.eclipse.jdt.internal.core.search.matching,18,40,0.111111111,26,3,0.896551724,0.007662835,0.048648649,0.555555556,0.99378882,0.0625,0.125,5823,5.823
org.eclipse.jdt.internal.core.search.processing,0,2,0,4,5,0.444444444,0.555555556,1,1,0.99068323,0.166666667,0.166666667,332,0.332
org.eclipse.jdt.internal.core.util,14,40,0.111111111,24,16,0.6,0.288888889,0.063172043,1,0.973602484,0.029411765,0.058823529,11423,11.423
org.eclipse.jdt.internal.corext,0,5,0,9,35,0.204545455,0.795454545,0.285714286,1,0.942546584,0,0.027027027,132,0.132
org.eclipse.jdt.internal.corext.callhierarchy,0,14,0.272727273,14,1,0.933333333,0.206060606,0.110251451,0.75,0.998447205,0,1,1075,1.075
org.eclipse.jdt.internal.corext.codemanipulation,2,19,0.117647059,32,21,0.603773585,0.278579356,0.041688111,1,0.962732919,0,0.041666667,3819,3.819
org.eclipse.jdt.internal.corext.dom,5,21,0.105263158,14,25,0.358974359,0.535762483,0.089171975,0.666666667,0.959627329,0.038461538,0,5009,5.009
org.eclipse.jdt.internal.corext.dom.fragments,0,9,0.5,7,1,0.875,0.375,0.238095238,1,0.998447205,0,1,521,0.521
org.eclipse.jdt.internal.corext.javadoc,0,5,0.25,21,9,0.7,0.05,0.109461967,1,0.986024845,0.111111111,0.111111111,663,0.663
org.eclipse.jdt.internal.corext.refactoring,3,10,0.111111111,17,13,0.566666667,0.322222222,0.085287846,1,0.976708075,0.066666667,0.066666667,1198,1.198
org.eclipse.jdt.internal.corext.refactoring.base,0,5,0.666666667,12,12,0.5,0.166666667,0.357142857,1,0.98136646,0.083333333,0.083333333,278,0.278
org.eclipse.jdt.internal.corext.refactoring.changes,1,31,0.192307692,15,10,0.6,0.207692308,0.102040816,0.466666667,0.98447205,0,0.025,1685,1.685
org.eclipse.jdt.internal.corext.refactoring.code,5,26,0.04,30,4,0.882352941,0.077647059,0.040584416,0.4,0.99378882,0.25,0.25,9235,9.235
org.eclipse.jdt.internal.corext.refactoring.code.flow,0,20,0.111111111,6,2,0.75,0.138888889,0.2734375,1,0.99689441,0.25,0.5,1716,1.716
org.eclipse.jdt.internal.corext.refactoring.nls,1,17,0,30,5,0.857142857,0.142857143,0.048582996,1,0.992236025,0,0.2,2030,2.03
org.eclipse.jdt.internal.corext.refactoring.nls.changes,0,4,0,11,4,0.733333333,0.266666667,0.193277311,1,0.99378882,0,0.25,275,0.275
org.eclipse.jdt.internal.corext.refactoring.participants,0,5,0,10,3,0.769230769,0.230769231,0.220779221,1,0.995341615,0,0.333333333,212,0.212
org.eclipse.jdt.internal.corext.refactoring.rename,1,22,0.1,23,7,0.766666667,0.133333333,0.054520359,0.4375,0.98757764,0,0.125,4599,4.599
org.eclipse.jdt.internal.corext.refactoring.reorg,3,26,0.625,28,8,0.777777778,0.402777778,0.049586777,0.4,0.98757764,0,0.125,4877,4.877
org.eclipse.jdt.internal.corext.refactoring.sef,2,2,0,21,1,0.954545455,0.045454545,0.064184852,0.75,0.998447205,0,1,738,0.738
org.eclipse.jdt.internal.corext.refactoring.structure,12,24,0.043478261,33,6,0.846153846,0.110367893,0.038071895,0.4375,0.99068323,0,0.166666667,11257,11.257
org.eclipse.jdt.internal.corext.refactoring.surround,0,5,0.25,21,2,0.913043478,0.163043478,0.066771406,0.5,0.99689441,0,0.5,549,0.549
org.eclipse.jdt.internal.corext.refactoring.tagging,1,5,0,3,3,0.5,0.5,1,1,1,0,1,40,0.04
org.eclipse.jdt.internal.corext.refactoring.typeconstraints,0,23,0.277777778,9,2,0.818181818,0.095959596,0.176470588,1,0.99689441,0,0.5,1928,1.928
